customer_id,first_name,last_name,gender,age,email,phone,city_id,customer_type,registration_date,preferred_contact,occupation,annual_income,marital_status
CUS000020,Vikram,Nair,Male,29,vikram.nair20@gmail.com,9992559001,C083,Premium,04-10-2024,Phone,Business,807227,Single
CUS000021,Ananya,Sharma,Female,32,ananya.sharma21@gmail.com,9905654367,C164,premium,06-04-2024,Phone,Teacher,682370,married
CUS000022,Sneha,Patel,Male,41,sneha.patel22@gmail.com,9441399436,C202,premium,19-01-2024,Phone,Doctor,660803,Single
CUS000023,Vikram,Iyer,FEMALE,37,vikram.iyer23@gmail.com,9179558995,C094,Premium,26-12-2024,Email,Business,2534043,Single
CUS000024,Aarav,Nair,male,41,aarav.nair24@gmail.com,9579865290,C097,Returning,25-10-2024,Phone,Doctor,2651130,married
CUS000025,Sneha,Nair,FEMALE,33,sneha.nair25@gmail.com,9748721352,C104,New,03-07-2024,Email,Engineer,1558435,Single
CUS000026,Rahul,Reddy,Female,38,rahul.reddy26@gmail.com,9529380554,C198,Returning,09-08-2024,Email,Teacher,2479786,Single
CUS000027,Ananya,Reddy,FEMALE,64,ananya.reddy27@gmail.com,9226794560,C021,New,24-04-2024,Phone,Business,744678,Married
CUS000028,Sneha,Sharma,male,39,sneha.sharma28@gmail.com,9954997537,C205,Returning,21-01-2024,Phone,Doctor,2827825,Single
CUS000029,Aarav,Singh,FEMALE,31,aarav.singh29@gmail.com,9726980586,C205,Returning,03-01-2024,Email,Business,2036871,married
CUS000030,Priya,Nair,Female,31,priya.nair30@gmail.com,9762271527,C223,New,17-02-2024,Phone,Teacher,1200511,Single
CUS000031,Priya,Sharma,male,37,priya.sharma31@gmail.com,9280060865,C180,Returning,16-02-2024,Email,Engineer,2019117,Married
CUS000032,Rahul,Sharma,MALE,25,rahul.sharma32@gmail.com,9918557062,C247,New,12-03-2024,Phone,Doctor,1380517,married
CUS000033,Aarav,Iyer,Female,44,aarav.iyer33@gmail.com,98 35656193,C242,Returning,28-04-2024,Phone,Engineer,1438763,Single
CUS000034,Priya,Sharma,FEMALE,24,priya.sharma34@gmail.com,9328752566,C210,Premium,15-10-2024,Phone,Engineer,599471,Single
CUS000035,Vikram,Iyer,Male,38,vikram.iyer35@gmail.com,9644878287,C020,New,24-10-2024,Phone,Business,1919420,married
CUS000036,Priya,Singh,MALE,26,priya.singh36@gmail.com,9921552642,C049,Returning,19-02-2024,WhatsApp,Teacher,1407976,Married
CUS000037,Rahul,Nair,FEMALE,40,rahul.nair37@gmail.com,9741501352,C114,Returning,09-06-2024,Phone,Teacher,2196546,Single
CUS000038,Aarav,Sharma,MALE,40,aarav.sharma38@gmail.com,9870596711,C238,Premium,15-10-2024,Phone,Business,2145737,married
CUS000039,Ananya,Sharma,Female,60,ananya.sharma39@gmail.com,9966256005,C126,New,08-12-2024,Phone,Doctor,571007,Married
CUS000040,Rahul,Singh,Male,51,,9645414251,C228,Returning,04-03-2024,Email,Doctor,2952711,Married
CUS000041,Sneha,Patel,FEMALE,59,sneha.patel41@gmail.com,9197249167,C160,Returning,11-03-2024,Email,Doctor,781477,Married
CUS000042,Priya,Sharma,male,61,priya.sharma42@gmail.com,9638462911,C015,Premium,02-09-2024,Phone,Doctor,1398009,Married
CUS000043,Priya,Iyer,Female,56,priya.iyer43@gmail.com,9725665883,C005,New,05-07-2024,WhatsApp,Engineer,2208702,married
CUS000044,Aarav,Singh,Male,32,aarav.singh44@gmail.com,9344179307,C060,Returning,13-06-2024,Email,Teacher,2151084,Married
CUS000045,Ananya,Patel,FEMALE,60,ananya.patel45@gmail.com,9404942568,C244,Premium,12-04-2024,Phone,Business,1806915,married
CUS000046,Aarav,Nair,Male,22,aarav.nair46@gmail.com,9163547362,C217,Returning,17-03-2024,Phone,Engineer,430938,Single
CUS000047,Priya,Singh,MALE,48,priya.singh47@gmail.com,9234323847,C246,Premium,02-08-2024,WhatsApp,Doctor,2944478,married
CUS000048,Rahul,Patel,MALE,31,rahul.patel48@gmail.com,9207041514,C155,Premium,04-07-2024,Email,Doctor,2447870,Married
CUS000049,Aarav,Nair,male,23,aarav.nair49@gmail.com,9548293112,C214,New,07-06-2024,Phone,Business,556985,Single
CUS000050,Vikram,Patel,MALE,34,vikram.patel50@gmail.com,9491208594,C187,Premium,06-06-2024,Phone,Doctor,1290789,Single
CUS000051,Ananya,Patel,male,37,ananya.patel51@gmail.com,9750834910,C247,Returning,24-06-2024,WhatsApp,Engineer,2034491,married
CUS000052,Aarav,Nair,FEMALE,41,aarav.nair52@gmail.com,9738454398,C223,premium,04-11-2024,WhatsApp,Business,1616039,Married
CUS000053,Priya,Nair,MALE,43,priya.nair53@gmail.com,9687788308,C196,Returning,28-04-2024,WhatsApp,Business,833629,Married
CUS000054,Aarav,Sharma,Male,22,aarav.sharma54@gmail.com,9656793548,C205,Premium,25-04-2024,Phone,Doctor,845838,Married
CUS000055,Vikram,Singh,Male,64,vikram.singh55@gmail.com,,C158,New,20-04-2024,Phone,Engineer,1773139,Married
CUS000056,Ananya,Sharma,Male,45,ananya.sharma56@gmail.com,9923741075,C224,premium,02-06-2024,WhatsApp,Business,2643462,Single
CUS000057,Ananya,Iyer,Male,33,ananya.iyer57@gmail.com,9581335195,C190,New,02-03-2024,Email,Teacher,1282341,Single
CUS000058,Vikram,Iyer,FEMALE,63,vikram.iyer58@gmail.com,9910708909,C168,Premium,16-06-2024,Email,Teacher,2431618,Married
CUS000059,Priya,Singh,MALE,48,priya.singh59@gmail.com,9263123393,C028,premium,03-01-2024,WhatsApp,Doctor,498408,married
CUS000060,Rahul,Iyer,male,65,rahul.iyer60@gmail.com,9248817880,C044,Returning,23-12-2024,WhatsApp,,2351819,Married
CUS000061,Ananya,Patel,male,65,ananya.patel61@gmail.com,9564684449,C229,New,13-01-2024,Phone,Doctor,1606944,Single
CUS000062,Sneha,Sharma,MALE,45,sneha.sharma62@gmail.com,9438434805,C154,New,09-09-2024,WhatsApp,Doctor,2005961,Single
CUS000063,Rahul,Reddy,male,26,rahul.reddy63@gmail.com,9559956874,C204,premium,16-02-2024,Email,Teacher,1707116,married
CUS000064,Vikram,Nair,Female,53,vikram.nair64@gmail.com,9954216704,C247,Premium,06-06-2024,WhatsApp,Teacher,2823355,Single
CUS000065,Rahul,Nair,MALE,23,rahul.nair65@gmail.com,9825913138,C159,Premium,27-11-2024,Email,Teacher,718133,Single
CUS000066,Sneha,Iyer,Male,43,sneha.iyer66@gmail.com,98 45427181,C056,New,27-12-2024,Email,Business,1155924,Married
CUS000067,Aarav,Iyer,Female,54,aarav.iyer67@gmail.com,9650093068,C223,Premium,20-10-2024,Email,Teacher,2441024,Married
CUS000068,Vikram,Singh,Female,42,vikram.singh68@gmail.com,9851822167,C163,premium,06-04-2024,Phone,Business,2705214,Single
CUS000069,Vikram,Iyer,FEMALE,62,vikram.iyer69@gmail.com,9780066507,C191,Returning,26-10-2024,WhatsApp,Doctor,387686,Single
CUS000070, Ananya,Sharma,male,43,ananya.sharma70@gmail.com,9893771068,C230,premium,26-06-2024,WhatsApp,Business,2235137,Single
CUS000071,Priya,Iyer,Male,34,priya.iyer71@gmail.com,9503596451,C043,New,08-06-2024,Email,Engineer,374539,married
CUS000072,Ananya,Patel,Female,43,ananya.patel72@gmail.com,9631277338,C166,New,05-05-2024,WhatsApp,Engineer,1036718,Single
CUS000073,Vikram,Iyer,MALE,22,vikram.iyer73@gmail.com,9484509362,C085,Premium,13-08-2024,Email,Teacher,1805880,Married
CUS000074,Aarav,Iyer,FEMALE,55,aarav.iyer74@gmail.com,9470312512,C173,premium,02-12-2024,Email,Doctor,1089166,married
CUS000075,Rahul,Reddy,Female,40,rahul.reddy75@gmail.com,9794024997,C020,Premium,20-08-2024,Phone,Doctor,2081960,Single
CUS000076,Priya,Reddy,MALE,61,priya.reddy76@gmail.com,9795264087,C220,premium,12-05-2024,WhatsApp,Business,2852292,Single
CUS000077,Sneha,Iyer,MALE,22,sneha.iyer77@gmail.com,9281807870,C154,New,01-11-2024,Phone,Engineer,1671470,Married
CUS000078,Ananya,Reddy,MALE,28,ananya.reddy78@gmail.com,9302360366,C194,Premium,21-11-2024,Email,Business,1942856,Single
CUS000079,Ananya,Sharma,male,43,ananya.sharma79@gmail.com,9522191214,C229,premium,04-12-2024,Phone,Business,2541942,Married
CUS000080,Rahul,Sharma,male,44,,9146220775,C165,premium,20-12-2024,Email,Doctor,2258071,Single
CUS000081,Vikram,Sharma,FEMALE,51,vikram.sharma81@gmail.com,9210749333,C089,premium,05-04-2024,Email,Doctor,1121681,Married
CUS000082,Rahul,Nair,Male,47,rahul.nair82@gmail.com,9301575831,C080,Returning,06-12-2024,WhatsApp,Doctor,457744,Married
CUS000083,Aarav,Patel,Male,32,aarav.patel83@gmail.com,9830292269,C170,premium,13-11-2024,Phone,Doctor,1356257,Married
CUS000084,Ananya,Singh,FEMALE,65,ananya.singh84@gmail.com,9105948691,C103,Returning,07-09-2024,WhatsApp,Engineer,647329,Single
CUS000085,Rahul,Singh,male,37,rahul.singh85@gmail.com,9718791701,C088,premium,23-09-2024,WhatsApp,Engineer,925509,Single
CUS000086,Ananya,Reddy,MALE,34,ananya.reddy86@gmail.com,9324952838,C126,New,04-07-2024,Phone,Doctor,1547818,married
CUS000087,Aarav,Reddy,MALE,60,aarav.reddy87@gmail.com,9168534620,C087,New,13-03-2024,Email,Engineer,381821,Married
CUS000088,Sneha,Nair,male,31,sneha.nair88@gmail.com,9416949272,C206,New,03-01-2024,WhatsApp,Business,2368427,Married
CUS000089,Vikram,Patel,MALE,41,vikram.patel89@gmail.com,9974546040,C165,Premium,06-05-2024,Email,Engineer,1741132,Married
CUS000090,Aarav,Iyer,male,59,aarav.iyer90@gmail.com,9410799204,C173,premium,01-12-2024,Phone,Business,2259421,married
CUS000091,Rahul,Patel,male,59,rahul.patel91@gmail.com,9775663588,C129,Premium,04-07-2024,WhatsApp,Doctor,2093834,Married
CUS000092,Priya,Nair,MALE,55,priya.nair92@gmail.com,9971390921,C075,premium,08-03-2024,Phone,Business,1118637,married
CUS000093,Aarav,Patel,Female,32,aarav.patel93@gmail.com,9473771828,C078,New,07-08-2024,WhatsApp,Teacher,686396,married
CUS000094,Ananya,Reddy,male,37,ananya.reddy94@gmail.com,9986170192,C168,premium,21-09-2024,WhatsApp,Teacher,2568286,married
CUS000095,Priya,Sharma,FEMALE,28,priya.sharma95@gmail.com,9487549611,C144,New,10-02-2024,Phone,Teacher,829935,Single
CUS000096,Aarav,Patel,Female,24,aarav.patel96@gmail.com,9843760956,C058,Returning,23-06-2024,Email,Doctor,1323140,married
CUS000097,Vikram,Iyer,MALE,62,vikram.iyer97@gmail.com,9138272838,C189,premium,02-05-2024,Phone,Teacher,2450172,Single
CUS000098,Priya,Patel,Female,45,priya.patel98@gmail.com,9191191562,C112,Returning,09-11-2024,WhatsApp,Engineer,1669715,Married
CUS000099,Aarav,Nair,male,51,aarav.nair99@gmail.com,98 25916211,C101,premium,18-09-2024,WhatsApp,Business,1341764,Single
CUS000100,Ananya,Singh,FEMALE,49,ananya.singh100@gmail.com,9297999635,C007,premium,05-03-2024,Phone,Business,879725,Single
CUS000101,Ananya,Nair,MALE,31,ananya.nair101@gmail.com,9968611403,C103,premium,11-12-2024,WhatsApp,Business,2013418,Single
CUS000102,Priya,Sharma,Male,47,priya.sharma102@gmail.com,9179363918,C029,New,15-02-2024,Phone,Engineer,1474811,Married
CUS000103,Ananya,Sharma,MALE,44,ananya.sharma103@gmail.com,9342297409,C243,Returning,07-04-2024,Phone,Teacher,2934276,Single
CUS000104,Ananya,Singh,MALE,40,ananya.singh104@gmail.com,9721125152,C225,Premium,26-06-2024,Phone,Engineer,1779626,married
CUS000105,Ananya,Reddy,Male,23,ananya.reddy105@gmail.com,9114490674,C116,Returning,22-04-2024,WhatsApp,Doctor,1971668,married
CUS000106,Vikram,Nair,Female,54,vikram.nair106@gmail.com,9159505377,C014,Premium,08-07-2024,WhatsApp,Doctor,2612277,Single
CUS000107,Sneha,Singh,male,60,sneha.singh107@gmail.com,9607728126,C136,Premium,06-11-2024,Phone,Teacher,975935,Married
CUS000108,Aarav,Sharma,Male,65,aarav.sharma108@gmail.com,9794022852,C111,New,04-06-2024,WhatsApp,Business,532546,Single
CUS000109,Rahul,Sharma,Male,46,rahul.sharma109@gmail.com,9862052381,C209,Premium,15-07-2024,Phone,Doctor,1225239,Married
CUS000110,Ananya,Patel,Female,41,ananya.patel110@gmail.com,,C178,New,06-08-2024,Email,Doctor,2220544,Single
CUS000111,Rahul,Reddy,Male,30,rahul.reddy111@gmail.com,9670348747,C039,Premium,28-02-2024,WhatsApp,Engineer,1658336,Married
CUS000112,Sneha,Patel,MALE,58,sneha.patel112@gmail.com,9233104978,C115,Premium,02-12-2024,WhatsApp,Teacher,1244947,married
CUS000113,Vikram,Patel,Female,45,vikram.patel113@gmail.com,9589278011,C158,Returning,03-04-2024,Email,Business,1031009,Married
CUS000114,Rahul,Sharma,male,63,rahul.sharma114@gmail.com,9239055358,C057,Premium,02-03-2024,Phone,Doctor,1820823,Single
CUS000115,Aarav,Singh,Female,24,aarav.singh115@gmail.com,9397898437,C168,premium,05-05-2024,Phone,Doctor,1390115,Single
CUS000116,Ananya,Singh,MALE,51,ananya.singh116@gmail.com,9202810603,C066,premium,23-06-2024,Phone,Business,2818948,Single
CUS000117,Aarav,Nair,Male,48,aarav.nair117@gmail.com,9730389587,C103,premium,26-05-2024,Email,Business,2226200,Single
CUS000118,Rahul,Reddy,MALE,37,rahul.reddy118@gmail.com,9593105507,C217,premium,11-07-2024,WhatsApp,Doctor,1594882,Single
CUS000119,Sneha,Iyer,FEMALE,45,sneha.iyer119@gmail.com,9496868903,C217,Returning,16-02-2024,WhatsApp,Business,1741728,Single
CUS000120,Priya,Nair,Female,54,,9394942897,C024,Returning,12-11-2024,Phone,,419608,Single
CUS000121,Aarav,Reddy,Female,58,aarav.reddy121@gmail.com,9737524303,C032,premium,22-09-2024,WhatsApp,Doctor,2092421,Married
CUS000122,Priya,Nair,Male,58,priya.nair122@gmail.com,9930810426,C248,Premium,22-07-2024,Phone,Doctor,799888,Single
CUS000123,Rahul,Singh,FEMALE,24,rahul.singh123@gmail.com,9517840979,C219,New,11-11-2024,WhatsApp,Teacher,879362,married
CUS000124,Ananya,Iyer,Male,62,ananya.iyer124@gmail.com,9661757405,C086,Returning,03-03-2024,WhatsApp,Engineer,2015828,married
CUS000125,Vikram,Iyer,Female,62,vikram.iyer125@gmail.com,9429794557,C111,New,26-11-2024,WhatsApp,Teacher,2814741,Single
CUS000126,Sneha,Patel,Male,62,sneha.patel126@gmail.com,9373181537,C225,Premium,22-10-2024,Email,Business,755380,married
CUS000127,Rahul,Patel,Female,43,rahul.patel127@gmail.com,9681073556,C020,Premium,01-04-2024,WhatsApp,Business,1084877,Married
CUS000128,Ananya,Patel,FEMALE,43,ananya.patel128@gmail.com,9316270717,C093,Premium,13-09-2024,Email,Engineer,2686697,Married
CUS000129,Aarav,Iyer,Male,27,aarav.iyer129@gmail.com,9239689364,C178,premium,02-04-2024,Email,Business,1099027,Married
CUS000130,Ananya,Reddy,MALE,55,ananya.reddy130@gmail.com,9652168431,C003,premium,01-07-2024,Phone,Business,769436,Single
CUS000131,Rahul,Nair,Female,35,rahul.nair131@gmail.com,9454754203,C138,New,15-10-2024,Phone,Teacher,1326087,married
CUS000132,Ananya,Nair,Female,38,ananya.nair132@gmail.com,98 28406516,C204,New,25-02-2024,Email,Business,2138392,married
CUS000133,Rahul,Reddy,MALE,48,rahul.reddy133@gmail.com,9313942537,C132,Premium,12-04-2024,WhatsApp,Engineer,2389090,Single
CUS000134,Aarav,Iyer,FEMALE,53,aarav.iyer134@gmail.com,9103894766,C114,Returning,13-07-2024,Phone,Doctor,2241275,married
CUS000135,Sneha,Iyer,Female,27,sneha.iyer135@gmail.com,9803612273,C001,Returning,17-07-2024,Email,Engineer,2217514,Single
CUS000136,Sneha,Reddy,Male,51,sneha.reddy136@gmail.com,9519569041,C166,Premium,15-09-2024,WhatsApp,Teacher,1491379,Married
CUS000137,Sneha,Singh,FEMALE,23,sneha.singh137@gmail.com,9543046283,C174,Premium,20-08-2024,Email,Engineer,1579321,married
CUS000138,Rahul,Patel,FEMALE,50,rahul.patel138@gmail.com,9400938889,C185,New,16-10-2024,Email,Business,1015054,married
CUS000139,Vikram,Patel,MALE,65,vikram.patel139@gmail.com,9306251872,C090,Premium,09-04-2024,WhatsApp,Business,832585,Married
CUS000140, Sneha,Iyer,FEMALE,37,sneha.iyer140@gmail.com,9372565147,C226,premium,09-01-2024,WhatsApp,Business,1282108,Married
CUS000141,Priya,Sharma,FEMALE,44,priya.sharma141@gmail.com,9970531064,C076,Returning,08-06-2024,Phone,Doctor,2835020,married
CUS000142,Sneha,Sharma,FEMALE,65,sneha.sharma142@gmail.com,9195016655,C143,Returning,14-03-2024,WhatsApp,Business,704058,married
CUS000143,Vikram,Reddy,FEMALE,53,vikram.reddy143@gmail.com,9399143250,C138,Premium,17-05-2024,Email,Teacher,1291739,Single
CUS000144,Aarav,Reddy,MALE,58,aarav.reddy144@gmail.com,9236969592,C080,premium,28-08-2024,Email,Engineer,542767,married
CUS000145,Vikram,Reddy,male,57,vikram.reddy145@gmail.com,9812679406,C216,Premium,07-05-2024,Phone,Engineer,2998714,married
CUS000146,Aarav,Singh,MALE,40,aarav.singh146@gmail.com,9153682575,C071,Returning,21-06-2024,WhatsApp,Business,2384937,Married
CUS000147,Rahul,Patel,male,39,rahul.patel147@gmail.com,9478639180,C117,Premium,25-12-2024,WhatsApp,Business,1527131,Single
CUS000148,Aarav,Reddy,male,53,aarav.reddy148@gmail.com,9245879775,C142,New,15-10-2024,WhatsApp,Doctor,1569725,married
CUS000149,Priya,Singh,FEMALE,34,priya.singh149@gmail.com,9585911122,C164,Returning,15-11-2024,WhatsApp,Business,2364406,Married
CUS000150,Aarav,Iyer,Female,45,aarav.iyer150@gmail.com,9891153062,C047,premium,06-01-2024,Phone,Engineer,2301193,Single
CUS000151,Ananya,Iyer,male,24,ananya.iyer151@gmail.com,9814172569,C250,premium,05-11-2024,Phone,Doctor,1202680,married
CUS000152,Priya,Patel,male,50,priya.patel152@gmail.com,9735952598,C021,New,07-03-2024,Email,Doctor,1255673,Single
CUS000153,Priya,Nair,male,59,priya.nair153@gmail.com,9973099542,C052,New,11-03-2024,WhatsApp,Doctor,2804635,Single
CUS000154,Rahul,Nair,male,42,rahul.nair154@gmail.com,9314461271,C234,Returning,08-08-2024,WhatsApp,Engineer,2404102,Single
CUS000155,Sneha,Patel,MALE,33,sneha.patel155@gmail.com,9123754089,C114,premium,02-02-2024,WhatsApp,Engineer,411078,married
CUS000156,Rahul,Patel,FEMALE,55,rahul.patel156@gmail.com,9136769207,C141,New,07-01-2024,Email,Engineer,1482624,Single
CUS000157,Priya,Reddy,Male,26,priya.reddy157@gmail.com,9626218552,C174,Premium,08-05-2024,Phone,Business,930765,Single
CUS000158,Priya,Singh,MALE,50,priya.singh158@gmail.com,9498616277,C182,Premium,03-06-2024,Email,Business,2578818,Married
CUS000159,Priya,Patel,male,56,priya.patel159@gmail.com,9806415801,C011,Premium,15-02-2024,Email,Teacher,2364985,Single
CUS000160,Ananya,Nair,Female,32,,9381100897,C025,Returning,01-02-2024,WhatsApp,Engineer,300218,Single
CUS000161,Vikram,Reddy,Male,39,vikram.reddy161@gmail.com,9141619895,C223,Premium,18-05-2024,Phone,Teacher,922008,Married
CUS000162,Vikram,Reddy,male,50,vikram.reddy162@gmail.com,9505334529,C008,New,06-06-2024,WhatsApp,Teacher,1065693,Single
CUS000163,Rahul,Singh,FEMALE,59,rahul.singh163@gmail.com,9919588628,C231,New,04-12-2024,Phone,Doctor,632224,Single
CUS000164,Priya,Nair,MALE,45,priya.nair164@gmail.com,9522641448,C100,Returning,11-08-2024,WhatsApp,Engineer,2286417,Single
CUS000165,Aarav,Patel,male,44,aarav.patel165@gmail.com,,C058,New,04-11-2024,Phone,Teacher,1859321,Married
CUS000166,Aarav,Sharma,MALE,24,aarav.sharma166@gmail.com,9483548415,C093,New,01-02-2024,Email,Teacher,349569,Married
CUS000167,Ananya,Reddy,Male,40,ananya.reddy167@gmail.com,9804716340,C136,premium,14-10-2024,WhatsApp,Engineer,2327248,Married
CUS000168,Rahul,Iyer,male,52,rahul.iyer168@gmail.com,9643996077,C069,premium,22-04-2024,Email,Doctor,1838372,Married
CUS000169,Ananya,Patel,MALE,52,ananya.patel169@gmail.com,9750780077,C076,Premium,17-04-2024,Phone,Doctor,2232226,married
CUS000170,Vikram,Nair,Female,50,vikram.nair170@gmail.com,9639251735,C077,premium,04-01-2024,Phone,Business,404171,Single
CUS000171,Ananya,Nair,Female,22,ananya.nair171@gmail.com,9668658202,C040,New,16-08-2024,Phone,Teacher,1607504,Single
CUS000172,Priya,Nair,FEMALE,65,priya.nair172@gmail.com,9607676180,C137,Premium,16-06-2024,Email,Doctor,2839532,married
CUS000173,Priya,Iyer,Female,50,priya.iyer173@gmail.com,9116336615,C153,premium,13-08-2024,Phone,Teacher,2675514,married
CUS000174,Priya,Singh,Female,55,priya.singh174@gmail.com,9428236066,C077,premium,25-03-2024,Phone,Teacher,2901826,Married
CUS000175,Ananya,Reddy,MALE,28,ananya.reddy175@gmail.com,9586013596,C104,New,17-01-2024,Phone,Doctor,867517,Single
CUS000176,Ananya,Reddy,Male,45,ananya.reddy176@gmail.com,9944698615,C021,New,19-06-2024,Phone,Teacher,410019,Single
CUS000177,Vikram,Patel,male,36,vikram.patel177@gmail.com,9168133496,C142,Returning,17-11-2024,Email,Teacher,1929465,Married
CUS000178,Sneha,Sharma,FEMALE,62,sneha.sharma178@gmail.com,9147992081,C205,New,03-05-2024,WhatsApp,Teacher,1427943,Married
CUS000179,Vikram,Patel,MALE,35,vikram.patel179@gmail.com,9839602412,C076,Returning,20-12-2024,WhatsApp,Business,838604,married
CUS000180,Vikram,Iyer,Male,30,vikram.iyer180@gmail.com,9780979815,C106,premium,23-08-2024,Email,,337144,Single
CUS000181,Ananya,Reddy,MALE,62,ananya.reddy181@gmail.com,9336868166,C165,premium,08-03-2024,Phone,Teacher,2881075,married
CUS000182,Rahul,Singh,MALE,49,rahul.singh182@gmail.com,9557983924,C245,New,24-11-2024,Email,Doctor,2759268,married
CUS000183,Aarav,Nair,Female,37,aarav.nair183@gmail.com,9192480227,C051,premium,12-12-2024,WhatsApp,Business,1354378,Married
CUS000184,Vikram,Sharma,FEMALE,42,vikram.sharma184@gmail.com,9620386539,C052,Premium,24-11-2024,Phone,Business,372639,married
CUS000185,Ananya,Singh,male,55,ananya.singh185@gmail.com,9496788786,C128,New,17-10-2024,Phone,Business,479386,Single
CUS000186,Aarav,Singh,Female,54,aarav.singh186@gmail.com,9418217363,C048,Premium,03-01-2024,Email,Business,538470,Married
CUS000187,Priya,Iyer,MALE,31,priya.iyer187@gmail.com,9707456953,C250,Returning,27-02-2024,WhatsApp,Engineer,868623,Married
CUS000188,Aarav,Nair,Male,36,aarav.nair188@gmail.com,9391811600,C002,Premium,01-07-2024,Email,Doctor,2656886,Single
CUS000189,Vikram,Reddy,Female,33,vikram.reddy189@gmail.com,9645796186,C207,premium,21-04-2024,WhatsApp,Teacher,779189,Single
CUS000190,Sneha,Reddy,Female,64,sneha.reddy190@gmail.com,9811109181,C052,Premium,10-10-2024,Phone,Teacher,1971161,married
CUS000191,Rahul,Reddy,Female,53,rahul.reddy191@gmail.com,9505156040,C230,New,08-11-2024,Email,Teacher,717554,Single
CUS000192,Vikram,Nair,Female,40,vikram.nair192@gmail.com,9612131271,C228,premium,12-02-2024,WhatsApp,Engineer,1762763,Single
CUS000193,Sneha,Iyer,Female,38,sneha.iyer193@gmail.com,9855632176,C249,New,03-03-2024,Email,Doctor,2663053,Married
CUS000194,Priya,Reddy,Female,30,priya.reddy194@gmail.com,9720641417,C104,New,06-06-2024,Email,Teacher,1527284,married
CUS000195,Priya,Sharma,MALE,32,priya.sharma195@gmail.com,9434451683,C250,premium,23-05-2024,WhatsApp,Teacher,1271744,Married
CUS000196,Sneha,Singh,male,26,sneha.singh196@gmail.com,9864214783,C152,premium,19-05-2024,WhatsApp,Doctor,2725084,Married
CUS000197,Vikram,Iyer,Male,36,vikram.iyer197@gmail.com,9568872001,C216,Premium,02-06-2024,Phone,Engineer,2426828,Married
CUS000198,Rahul,Patel,FEMALE,23,rahul.patel198@gmail.com,98 16716003,C147,premium,18-02-2024,Phone,Engineer,2880744,Married
CUS000199,Vikram,Patel,Male,65,vikram.patel199@gmail.com,9376220473,C206,Returning,11-01-2024,Email,Engineer,1336908,Married
CUS000200,Vikram,Iyer,FEMALE,53,,9385182085,C023,New,05-03-2024,Phone,Business,1023146,married
CUS000201,Sneha,Nair,FEMALE,49,sneha.nair201@gmail.com,9466954835,C117,premium,18-08-2024,WhatsApp,Doctor,1335254,married
CUS000202,Sneha,Iyer,male,38,sneha.iyer202@gmail.com,9439948008,C195,Premium,04-09-2024,WhatsApp,Business,1329910,Married
